step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
233,16928832,14912,0.011587214193207348,0.78125,0.78125,0.007555118049897771,0.984375,0.984375,,,,,,
234,16979072,14976,0.011068097220388736,0.84375,0.84375,,,,,,,,,
235,17056960,15040,0.008046629270811395,0.78125,0.78125,,,,,,,,,
236,17130240,15104,0.008048488542563839,0.8125,0.8125,,,,,,,,,
237,17213248,15168,0.00855007208224945,0.796875,0.796875,,,,,,,,,
238,17299328,15232,0.005889402056187279,0.8125,0.8125,,,,,,,,,
239,17375168,15296,0.007803464576123613,0.875,0.875,,,,,,,,,
240,17444864,15360,0.010681741415501194,0.78125,0.78125,,,,,,,,,
241,17498688,15424,0.010670024955046336,0.78125,0.78125,0.008797292122569996,0.9375,0.9375,,,,,,
242,17568896,15488,0.008422181539447095,0.875,0.875,,,,,,,,,
243,17652928,15552,0.008385512111849954,0.71875,0.71875,,,,,,,,,
244,17703680,15616,0.011122438793966159,0.828125,0.828125,,,,,,,,,
245,17780544,15680,0.008031228541023989,0.890625,0.890625,,,,,,,,,
246,17847168,15744,0.0086390461235027,0.8125,0.8125,,,,,,,,,
247,17900992,15808,0.009872692443417385,0.859375,0.859375,,,,,,,,,
248,17977856,15872,0.009734683373314675,0.828125,0.828125,,,,,,,,,
249,18059328,15936,0.007634275327049824,0.84375,0.84375,0.009488356982173885,0.984375,0.984375,,,,,,
250,18115712,16000,0.010262076076069526,0.796875,0.796875,,,,,,,,,
251,18181824,16064,0.008727995851105827,0.78125,0.78125,,,,,,,,,
252,18234112,16128,0.009997680309338819,0.8125,0.8125,,,,,,,,,
253,18277696,16192,0.011368684264525097,0.875,0.875,,,,,,,,,
254,18336128,16256,0.009793029411487467,0.875,0.875,,,,,,,,,
255,18420672,16320,0.007049509014767557,0.8125,0.8125,,,,,,,,,
256,18508288,16384,0.007583414642526603,0.78125,0.78125,,,,,,,,,
257,18567232,16448,0.010204816986349138,0.78125,0.78125,0.008867465683952401,0.921875,0.921875,,,,,,
258,18624640,16512,0.01079547014758767,0.796875,0.796875,,,,,,,,,
259,18699968,16576,0.008140290375056489,0.796875,0.796875,,,,,,,,,
260,18749696,16640,0.01181678510467202,0.890625,0.890625,,,,,,,,,
261,18818368,16704,0.010548217467317218,0.8125,0.8125,,,,,,,,,
262,18896256,16768,0.0076067846963538115,0.8125,0.8125,,,,,,,,,
263,18973632,16832,0.007133332388998403,0.71875,0.71875,,,,,,,,,
264,19040768,16896,0.008235220555317724,0.8125,0.8125,,,,,,,,,
265,19127872,16960,0.006505611845111266,0.828125,0.828125,0.00820576129756429,0.9375,0.9375,,,,,,
266,19171968,17024,0.011472822458015753,0.90625,0.90625,,,,,,,,,
267,19214528,17088,0.011290829967991562,0.84375,0.84375,,,,,,,,,
268,19277056,17152,0.009196711064017699,0.84375,0.84375,,,,,,,,,
269,19332416,17216,0.010753554994048812,0.796875,0.796875,,,,,,,,,
270,19414912,17280,0.008552633179304643,0.765625,0.765625,,,,,,,,,
271,19484608,17344,0.0076294181691840416,0.84375,0.84375,,,,,,,,,
272,19564032,17408,0.008293734061002504,0.84375,0.84375,,,,,,,,,
273,19628096,17472,0.008909375300422745,0.859375,0.859375,0.011296233182095536,0.96875,0.96875,,,,,,
274,19683968,17536,0.00885820227416935,0.859375,0.859375,,,,,,,,,
275,19768512,17600,0.008600893647881904,0.890625,0.890625,,,,,,,,,
276,19845888,17664,0.007786256499109917,0.84375,0.84375,,,,,,,,,
277,19922240,17728,0.008317925689383807,0.828125,0.828125,,,,,,,,,
278,19980160,17792,0.01010118790798222,0.90625,0.90625,,,,,,,,,
279,20032960,17856,0.01157999421743914,0.859375,0.859375,,,,,,,,,
280,20106240,17920,0.008285433790324124,0.875,0.875,,,,,,,,,
281,20193856,17984,0.006675909765393056,0.953125,0.953125,0.00806938558956265,0.921875,0.921875,,,,,,
282,20250240,18048,0.010589357216700585,0.859375,0.859375,,,,,,,,,
283,20321984,18112,0.008327673916784456,0.859375,0.859375,,,,,,,,,
284,20385024,18176,0.009905595706644706,0.8125,0.8125,,,,,,,,,
285,20457280,18240,0.009183850268465044,0.9375,0.9375,,,,,,,,,
286,20540800,18304,0.008236441456072953,0.84375,0.84375,,,,,,,,,
287,20612544,18368,0.007806270891447047,0.796875,0.796875,,,,,,,,,
288,20676608,18432,0.008763933412319406,0.8125,0.8125,,,,,,,,,
289,20747840,18496,0.009329874790770932,0.796875,0.796875,0.013328643591387695,0.953125,0.953125,,,,,,
290,20839552,18560,0.00664019582725303,0.84375,0.84375,,,,,,,,,
291,20917440,18624,0.007252963394803098,0.828125,0.828125,,,,,,,,,
292,20982528,18688,0.009554440560912605,0.859375,0.859375,,,,,,,,,
293,21057856,18752,0.008294678647881448,0.828125,0.828125,,,,,,,,,
294,21143936,18816,0.006834389359100497,0.84375,0.84375,,,,,,,,,
