iter	Passed	Remaining
909	2615	3132
910	2618	3129
911	2621	3126
912	2623	3124
913	2626	3121
914	2629	3118
915	2632	3115
916	2635	3112
917	2638	3109
918	2641	3106
919	2643	3103
920	2646	3100
921	2649	3097
922	2652	3094
923	2655	3091
924	2657	3088
925	2660	3085
926	2663	3083
927	2666	3080
928	2669	3077
929	2672	3074
930	2674	3071
931	2677	3068
932	2680	3065
933	2683	3062
934	2686	3060
935	2689	3057
936	2692	3054
937	2695	3051
938	2698	3048
939	2701	3046
940	2704	3043
941	2707	3040
942	2709	3037
943	2712	3034
944	2715	3031
945	2718	3028
946	2721	3025
947	2723	3022
948	2726	3020
949	2729	3017
950	2732	3014
951	2735	3011
952	2738	3008
953	2741	3005
954	2744	3002
955	2747	3000
956	2750	2997
957	2752	2994
958	2755	2991
959	2758	2988
960	2761	2985
961	2764	2982
962	2767	2979
963	2770	2977
964	2773	2974
965	2775	2971
966	2778	2968
967	2781	2965
968	2784	2962
969	2787	2959
970	2790	2957
971	2793	2954
972	2796	2951
973	2799	2948
974	2802	2945
975	2804	2942
976	2807	2939
977	2810	2937
978	2813	2934
979	2816	2931
980	2819	2928
981	2822	2925
982	2825	2923
983	2828	2920
984	2831	2917
985	2833	2914
986	2836	2911
987	2839	2908
988	2842	2905
989	2845	2902
990	2848	2899
991	2850	2896
992	2853	2893
993	2856	2891
994	2859	2888
995	2862	2885
996	2865	2882
997	2868	2879
998	2871	2877
999	2874	2874
1000	2876	2871
1001	2879	2868
1002	2882	2865
1003	2885	2862
1004	2888	2859
1005	2891	2857
1006	2894	2854
1007	2897	2851
1008	2900	2848
1009	2903	2845
1010	2906	2843
1011	2909	2840
1012	2912	2837
1013	2915	2834
1014	2917	2831
1015	2921	2829
1016	2923	2826
1017	2926	2823
1018	2929	2820
1019	2932	2817
1020	2935	2814
1021	2938	2812
1022	2941	2809
1023	2944	2806
1024	2947	2803
1025	2950	2801
1026	2953	2798
1027	2956	2795
1028	2958	2792
1029	2961	2789
1030	2965	2786
1031	2967	2783
1032	2970	2780
1033	2974	2778
1034	2977	2775
1035	2979	2772
1036	2982	2770
1037	2985	2767
1038	2988	2764
1039	2991	2761
1040	2994	2759
1041	2997	2756
1042	3000	2753
1043	3003	2750
1044	3006	2747
1045	3009	2745
1046	3012	2742
1047	3015	2739
1048	3018	2736
1049	3021	2733
1050	3025	2731
1051	3028	2728
1052	3031	2725
1053	3034	2723
1054	3037	2720
1055	3039	2717
1056	3042	2714
1057	3045	2711
1058	3048	2708
1059	3051	2706
1060	3054	2703
1061	3057	2700
1062	3060	2697
1063	3063	2695
1064	3066	2692
1065	3069	2689
1066	3072	2686
1067	3075	2683
1068	3078	2681
1069	3081	2678
1070	3083	2675
1071	3086	2671
1072	3089	2668
1073	3091	2665
1074	3094	2662
1075	3097	2660
1076	3100	2657
1077	3103	2654
1078	3106	2651
1079	3108	2648
1080	3112	2645
1081	3114	2642
1082	3118	2640
1083	3120	2637
1084	3123	2634
1085	3126	2631
1086	3129	2628
1087	3132	2625
1088	3135	2622
1089	3138	2620
1090	3141	2617
1091	3143	2614
1092	3147	2611
1093	3149	2608
1094	3152	2605
1095	3156	2603
1096	3158	2600
1097	3161	2597
1098	3164	2594
1099	3167	2591
1100	3170	2588
1101	3173	2585
1102	3176	2583
1103	3179	2580
1104	3181	2577
1105	3184	2574
1106	3187	2571
1107	3190	2568
1108	3193	2565
1109	3196	2562
1110	3199	2560
1111	3202	2557
1112	3204	2554
1113	3207	2551
1114	3210	2548
1115	3213	2545
1116	3216	2542
1117	3219	2539
1118	3222	2536
1119	3225	2534
1120	3228	2531
1121	3231	2528
1122	3234	2525
1123	3236	2522
1124	3239	2519
1125	3242	2516
1126	3245	2513
1127	3247	2510
1128	3250	2507
1129	3253	2504
1130	3256	2501
1131	3258	2498
1132	3261	2495
1133	3264	2493
1134	3267	2490
1135	3269	2487
1136	3272	2484
1137	3275	2481
1138	3278	2478
1139	3281	2475
1140	3283	2472
1141	3286	2469
1142	3290	2466
1143	3292	2463
1144	3295	2460
1145	3298	2457
1146	3301	2455
1147	3304	2452
1148	3307	2449
1149	3310	2446
1150	3312	2443
1151	3315	2440
1152	3318	2437
1153	3321	2435
1154	3324	2432
1155	3327	2429
1156	3330	2426
1157	3333	2423
1158	3336	2420
1159	3338	2417
1160	3341	2414
1161	3344	2412
1162	3347	2409
1163	3350	2406
1164	3353	2403
1165	3356	2400
1166	3358	2397
1167	3361	2394
1168	3364	2391
1169	3367	2389
1170	3370	2386
1171	3373	2383
1172	3376	2380
1173	3379	2377
1174	3381	2374
1175	3384	2371
1176	3387	2368
1177	3390	2365
1178	3393	2363
1179	3396	2360
1180	3399	2357
1181	3402	2354
1182	3405	2351
1183	3408	2349
1184	3411	2346
1185	3414	2343
1186	3417	2340
1187	3419	2337
1188	3422	2334
1189	3425	2331
1190	3428	2328
1191	3431	2325
1192	3434	2323
1193	3437	2320
1194	3440	2317
1195	3443	2314
1196	3445	2311
1197	3448	2308
1198	3452	2306
1199	3454	2303
1200	3457	2300
1201	3460	2297
1202	3463	2294
1203	3466	2291
1204	3469	2289
1205	3472	2286
1206	3475	2283
1207	3478	2280
1208	3481	2277
1209	3484	2275
1210	3487	2272
1211	3490	2269
1212	3493	2266
1213	3496	2263
1214	3499	2260
1215	3502	2258
1216	3505	2255
1217	3508	2252
1218	3510	2249
1219	3513	2246
1220	3516	2243
1221	3519	2240
1222	3522	2238
1223	3525	2235
1224	3528	2232
1225	3531	2229
1226	3534	2226
1227	3537	2223
1228	3540	2220
1229	3543	2218
1230	3546	2215
1231	3549	2212
1232	3552	2209
1233	3555	2206
1234	3557	2203
1235	3560	2200
1236	3563	2198
1237	3566	2195
1238	3569	2192
1239	3572	2189
1240	3575	2186
1241	3578	2183
1242	3581	2180
1243	3584	2178
1244	3587	2175
1245	3590	2172
1246	3593	2169
1247	3596	2166
1248	3599	2164
1249	3602	2161
1250	3605	2158
1251	3608	2155
1252	3611	2153
1253	3614	2150
1254	3617	2147
1255	3620	2144
1256	3623	2141
1257	3625	2138
1258	3628	2135
1259	3631	2132
1260	3634	2129
1261	3637	2127
1262	3640	2124
1263	3643	2121
1264	3646	2118
1265	3649	2115
1266	3652	2113
1267	3655	2110
1268	3658	2107
1269	3661	2104
1270	3664	2101
1271	3667	2098
1272	3670	2096
1273	3673	2093
1274	3675	2090
1275	3678	2087
1276	3681	2084
1277	3684	2081
1278	3687	2078
1279	3690	2075
1280	3693	2072
1281	3695	2069
1282	3698	2067
1283	3701	2064
1284	3704	2061
1285	3707	2058
1286	3710	2055
1287	3713	2052
1288	3716	2049
1289	3718	2046
1290	3721	2044
1291	3724	2041
1292	3727	2038
1293	3730	2035
1294	3733	2032
1295	3736	2029
1296	3739	2026
1297	3741	2023
1298	3745	2021
1299	3748	2018
1300	3750	2015
1301	3754	2012
1302	3756	2009
1303	3759	2006
1304	3762	2003
1305	3765	2000
1306	3768	1998
1307	3771	1995
1308	3774	1992
1309	3777	1989
1310	3780	1986
1311	3782	1983
1312	3785	1980
1313	3789	1978
1314	3792	1975
1315	3795	1972
1316	3798	1969
1317	3801	1967
1318	3804	1964
1319	3807	1961
1320	3810	1958
1321	3813	1955
1322	3816	1952
1323	3819	1950
1324	3822	1947
1325	3825	1944
1326	3828	1941
1327	3831	1938
1328	3834	1935
1329	3837	1933
1330	3840	1930
1331	3842	1927
1332	3845	1924
1333	3848	1921
1334	3851	1918
1335	3854	1915
1336	3857	1912
1337	3860	1910
1338	3863	1907
1339	3866	1904
1340	3869	1901
1341	3872	1898
1342	3875	1895
1343	3877	1892
1344	3881	1890
1345	3883	1887
1346	3886	1884
1347	3889	1881
1348	3892	1878
1349	3895	1875
1350	3898	1872
1351	3900	1869
1352	3903	1866
1353	3906	1863
1354	3909	1861
1355	3912	1858
1356	3915	1855
1357	3918	1852
1358	3921	1849
1359	3924	1846
1360	3926	1843
1361	3929	1840
1362	3932	1837
1363	3935	1835
1364	3938	1832
1365	3941	1829
1366	3944	1826
1367	3947	1823
1368	3950	1820
1369	3953	1818
1370	3956	1815
1371	3959	1812
1372	3962	1809
1373	3965	1806
1374	3968	1803
1375	3971	1801
1376	3974	1798
1377	3977	1795
1378	3980	1792
1379	3983	1789
1380	3986	1786
1381	3989	1784
1382	3992	1781
1383	3995	1778
1384	3998	1775
1385	4001	1772
1386	4004	1769
1387	4007	1766
1388	4010	1764
1389	4012	1761
1390	4015	1758
1391	4018	1755
1392	4022	1752
1393	4025	1749
1394	4028	1746
1395	4030	1743
1396	4033	1741
1397	4036	1738
1398	4039	1735
1399	4042	1732
1400	4044	1729
1401	4047	1726
1402	4050	1723
1403	4053	1720
1404	4057	1718
1405	4059	1715
1406	4062	1712
1407	4065	1709
1408	4068	1706
1409	4072	1703
1410	4074	1700
1411	4077	1698
1412	4081	1695
1413	4084	1692
1414	4087	1689
1415	4090	1686
1416	4092	1683
1417	4095	1681
1418	4099	1678
1419	4102	1675
1420	4104	1672
1421	4107	1669
1422	4110	1666
1423	4113	1663
1424	4116	1660
1425	4118	1657
1426	4121	1655
1427	4124	1652
1428	4127	1649
1429	4130	1646
1430	4133	1643
1431	4135	1640
1432	4138	1637
1433	4141	1634
1434	4144	1631
1435	4146	1628
1436	4149	1625
1437	4152	1622
1438	4155	1620
1439	4158	1617
1440	4161	1614
1441	4163	1611
1442	4167	1608
1443	4170	1605
1444	4172	1602
1445	4175	1599
1446	4178	1596
1447	4181	1594
1448	4184	1591
1449	4187	1588
1450	4190	1585
1451	4192	1582
1452	4195	1579
1453	4198	1576
1454	4201	1573
1455	4204	1570
1456	4207	1568
1457	4210	1565
1458	4213	1562
1459	4216	1559
1460	4219	1556
1461	4221	1553
1462	4224	1550
1463	4227	1547
1464	4230	1545
1465	4233	1542
1466	4236	1539
1467	4239	1536
1468	4242	1533
1469	4244	1530
1470	4247	1527
1471	4250	1524
1472	4253	1521
1473	4256	1518
1474	4258	1515
1475	4261	1513
1476	4264	1510
1477	4267	1507
1478	4270	1504
1479	4273	1501
1480	4275	1498
1481	4278	1495
1482	4281	1492
1483	4284	1489
1484	4287	1486
1485	4290	1483
1486	4292	1481
1487	4295	1478
1488	4298	1475
1489	4301	1472
1490	4304	1469
1491	4307	1466
1492	4310	1463
1493	4313	1460
1494	4316	1458
1495	4319	1455
1496	4322	1452
1497	4325	1449
1498	4328	1446
1499	4331	1443
1500	4334	1440
1501	4336	1437
1502	4339	1435
1503	4342	1432
1504	4345	1429
1505	4348	1426
1506	4351	1423
1507	4354	1420
1508	4357	1417
1509	4360	1414
1510	4363	1412
1511	4366	1409
1512	4369	1406
1513	4371	1403
1514	4374	1400
1515	4377	1397
1516	4380	1394
1517	4382	1391
1518	4385	1388
1519	4388	1385
1520	4390	1382
1521	4393	1379
1522	4396	1376
1523	4398	1373
1524	4401	1370
1525	4404	1368
1526	4407	1365
1527	4410	1362
1528	4412	1359
1529	4415	1356
1530	4417	1353
1531	4420	1350
1532	4423	1347
1533	4425	1344
1534	4428	1341
1535	4430	1338
1536	4433	1335
1537	4436	1332
1538	4438	1329
1539	4442	1326
1540	4444	1323
1541	4447	1321
1542	4450	1318
1543	4453	1315
1544	4455	1312
1545	4458	1309
1546	4460	1306
